"","start.year","start.month","start.dayofweek","start.hour","Member.type","total.rides","avg.duration"
"97",2015,"December","Saturday",2,"Member",59,8.70576271186441
"98",2015,"December","Saturday",3,"Casual",2,7.2
"99",2015,"December","Saturday",3,"Member",26,15.1011538461538
"100",2015,"December","Saturday",4,"Member",9,9.86444444444444
"101",2015,"December","Saturday",5,"Member",7,14.6957142857143
"102",2015,"December","Saturday",6,"Casual",5,24.81
"103",2015,"December","Saturday",6,"Member",20,13.885
"104",2015,"December","Saturday",7,"Casual",6,41.36
"105",2015,"December","Saturday",7,"Member",75,10.142
"106",2015,"December","Saturday",8,"Casual",24,31.3741666666667
"107",2015,"December","Saturday",8,"Member",178,10.158595505618
"108",2015,"December","Saturday",9,"Casual",64,40.484375
"109",2015,"December","Saturday",9,"Member",272,11.1252205882353
"110",2015,"December","Saturday",10,"Casual",74,51.6694594594595
"111",2015,"December","Saturday",10,"Member",416,10.1352403846154
"112",2015,"December","Saturday",11,"Casual",180,46.7448888888889
"113",2015,"December","Saturday",11,"Member",498,11.6687951807229
"114",2015,"December","Saturday",12,"Casual",184,51.5455434782609
"115",2015,"December","Saturday",12,"Member",539,12.7639888682746
"116",2015,"December","Saturday",13,"Casual",233,52.0236480686695
"117",2015,"December","Saturday",13,"Member",525,13.4459619047619
"118",2015,"December","Saturday",14,"Casual",222,48.1037387387387
"119",2015,"December","Saturday",14,"Member",480,13.7309583333333
"120",2015,"December","Saturday",15,"Casual",226,39.1681415929204
"121",2015,"December","Saturday",15,"Member",512,13.59267578125
"122",2015,"December","Saturday",16,"Casual",217,36.5891244239631
"123",2015,"December","Saturday",16,"Member",452,11.6684292035398
"124",2015,"December","Saturday",17,"Casual",137,37.7887591240876
"125",2015,"December","Saturday",17,"Member",392,10.8084183673469
"126",2015,"December","Saturday",18,"Casual",58,22.651724137931
"127",2015,"December","Saturday",18,"Member",348,12.2994827586207
"128",2015,"December","Saturday",19,"Casual",51,50.9250980392157
"129",2015,"December","Saturday",19,"Member",258,10.6246899224806
"130",2015,"December","Saturday",20,"Casual",32,26.4753125
"131",2015,"December","Saturday",20,"Member",205,10.1235609756098
"132",2015,"December","Saturday",21,"Casual",29,25.5031034482759
"133",2015,"December","Saturday",21,"Member",190,9.695
"134",2015,"December","Saturday",22,"Casual",21,15.872380952381
"135",2015,"December","Saturday",22,"Member",147,10.4500680272109
"136",2015,"December","Saturday",23,"Casual",13,29.3915384615385
"137",2015,"December","Saturday",23,"Member",118,14.1511016949153
"138",2015,"December","Sunday",0,"Casual",16,62.20875
"139",2015,"December","Sunday",0,"Member",109,8.93174311926606
"140",2015,"December","Sunday",1,"Casual",16,17.865625
"141",2015,"December","Sunday",1,"Member",90,9.14133333333333
"142",2015,"December","Sunday",2,"Casual",7,28.7471428571429
"143",2015,"December","Sunday",2,"Member",78,9.51897435897436
"144",2015,"December","Sunday",3,"Casual",5,274.03
"145",2015,"December","Sunday",3,"Member",24,9.88625
"146",2015,"December","Sunday",4,"Casual",1,434.3
"147",2015,"December","Sunday",4,"Member",7,11.6385714285714
"148",2015,"December","Sunday",5,"Casual",2,13.255
"149",2015,"December","Sunday",5,"Member",11,11.0209090909091
"150",2015,"December","Sunday",6,"Casual",5,60.878
"151",2015,"December","Sunday",6,"Member",19,8.19736842105263
"152",2015,"December","Sunday",7,"Casual",7,21.11
"153",2015,"December","Sunday",7,"Member",46,9.10782608695652
"154",2015,"December","Sunday",8,"Casual",21,63.9776190476191
"155",2015,"December","Sunday",8,"Member",130,10.4150769230769
"156",2015,"December","Sunday",9,"Casual",64,35.05140625
"157",2015,"December","Sunday",9,"Member",231,10.3047186147186
"158",2015,"December","Sunday",10,"Casual",145,46.0273103448276
"159",2015,"December","Sunday",10,"Member",381,10.5576902887139
"160",2015,"December","Sunday",11,"Casual",175,45.4489142857143
"161",2015,"December","Sunday",11,"Member",436,11.8365825688073
"162",2015,"December","Sunday",12,"Casual",210,43.1502380952381
"163",2015,"December","Sunday",12,"Member",523,11.9960420650096
"164",2015,"December","Sunday",13,"Casual",224,43.3834375
"165",2015,"December","Sunday",13,"Member",565,13.2015752212389
"166",2015,"December","Sunday",14,"Casual",237,44.5991139240506
"167",2015,"December","Sunday",14,"Member",530,13.5014716981132
"168",2015,"December","Sunday",15,"Casual",254,44.8716929133858
"169",2015,"December","Sunday",15,"Member",533,12.1720825515947
"170",2015,"December","Sunday",16,"Casual",217,34.9431797235023
"171",2015,"December","Sunday",16,"Member",516,11.7394379844961
"172",2015,"December","Sunday",17,"Casual",163,31.4053374233129
"173",2015,"December","Sunday",17,"Member",418,11.641985645933
"174",2015,"December","Sunday",18,"Casual",73,24.5094520547945
"175",2015,"December","Sunday",18,"Member",349,12.9580229226361
"176",2015,"December","Sunday",19,"Casual",50,32.3342
"177",2015,"December","Sunday",19,"Member",246,10.1429674796748
"178",2015,"December","Sunday",20,"Casual",35,20.0734285714286
"179",2015,"December","Sunday",20,"Member",177,9.66327683615819
"180",2015,"December","Sunday",21,"Casual",20,37.4665
"181",2015,"December","Sunday",21,"Member",129,10.0647286821705
"182",2015,"December","Sunday",22,"Casual",22,23.7027272727273
"183",2015,"December","Sunday",22,"Member",113,15.2284955752212
"184",2015,"December","Sunday",23,"Casual",12,17.02
"185",2015,"December","Sunday",23,"Member",59,9.55271186440678
"186",2015,"December","Thursday",0,"Casual",4,22.615
"187",2015,"December","Thursday",0,"Member",58,11.2262068965517
"188",2015,"December","Thursday",1,"Casual",2,44.45
"189",2015,"December","Thursday",1,"Member",31,11.6277419354839
"190",2015,"December","Thursday",2,"Casual",3,94.1966666666667
"191",2015,"December","Thursday",2,"Member",16,8.073125
"192",2015,"December","Thursday",3,"Casual",2,85.45
"193",2015,"December","Thursday",3,"Member",4,15.485
"194",2015,"December","Thursday",4,"Member",7,14.1928571428571
"195",2015,"December","Thursday",5,"Member",83,8.13807228915663
"196",2015,"December","Thursday",6,"Member",275,10.3264363636364
"197",2015,"December","Thursday",7,"Casual",8,102.64125
"198",2015,"December","Thursday",7,"Member",615,11.0890569105691
"199",2015,"December","Thursday",8,"Casual",17,20.0241176470588
"200",2015,"December","Thursday",8,"Member",987,11.8456433637285
"201",2015,"December","Thursday",9,"Casual",31,35.5074193548387
"202",2015,"December","Thursday",9,"Member",525,11.1779428571429
"203",2015,"December","Thursday",10,"Casual",53,37.688679245283
"204",2015,"December","Thursday",10,"Member",280,11.3554642857143
"205",2015,"December","Thursday",11,"Casual",94,45.363085106383
"206",2015,"December","Thursday",11,"Member",345,10.2220289855072
"207",2015,"December","Thursday",12,"Casual",96,40.341875
"208",2015,"December","Thursday",12,"Member",400,10.966525
"209",2015,"December","Thursday",13,"Casual",95,48.3767368421053
"210",2015,"December","Thursday",13,"Member",443,10.2712415349887
"211",2015,"December","Thursday",14,"Casual",89,38.6891011235955
"212",2015,"December","Thursday",14,"Member",417,10.6940047961631
"213",2015,"December","Thursday",15,"Casual",93,41.1669892473118
"214",2015,"December","Thursday",15,"Member",495,14.8171717171717
"215",2015,"December","Thursday",16,"Casual",106,38.6770754716981
"216",2015,"December","Thursday",16,"Member",694,11.3431700288184
"217",2015,"December","Thursday",17,"Casual",68,29.0963235294118
"218",2015,"December","Thursday",17,"Member",987,13.5369503546099
"219",2015,"December","Thursday",18,"Casual",49,28.0328571428571
"220",2015,"December","Thursday",18,"Member",879,10.8517064846416
"221",2015,"December","Thursday",19,"Casual",34,27.1294117647059
"222",2015,"December","Thursday",19,"Member",572,11.5165384615385
"223",2015,"December","Thursday",20,"Casual",20,22.807
"224",2015,"December","Thursday",20,"Member",385,14.1488311688312
"225",2015,"December","Thursday",21,"Casual",24,63.83
"226",2015,"December","Thursday",21,"Member",287,12.3445296167247
"227",2015,"December","Thursday",22,"Casual",24,38.5829166666667
"228",2015,"December","Thursday",22,"Member",242,10.6903719008264
"229",2015,"December","Thursday",23,"Casual",14,23.9235714285714
"230",2015,"December","Thursday",23,"Member",154,12.3075324675325
"231",2015,"December","Tuesday",0,"Casual",5,30.87
"232",2015,"December","Tuesday",0,"Member",43,8.05720930232558
"233",2015,"December","Tuesday",1,"Casual",3,18.9
"234",2015,"December","Tuesday",1,"Member",22,14.5063636363636
"235",2015,"December","Tuesday",2,"Casual",1,4.22
"236",2015,"December","Tuesday",2,"Member",5,13.646
"237",2015,"December","Tuesday",3,"Casual",2,38.16
"238",2015,"December","Tuesday",3,"Member",4,11.8625
"239",2015,"December","Tuesday",4,"Casual",1,15.1
"240",2015,"December","Tuesday",4,"Member",7,15.22
"241",2015,"December","Tuesday",5,"Casual",1,15.17
"242",2015,"December","Tuesday",5,"Member",88,8.64488636363636
"243",2015,"December","Tuesday",6,"Casual",3,28.05
"244",2015,"December","Tuesday",6,"Member",250,9.02964
"245",2015,"December","Tuesday",7,"Casual",5,22.408
"246",2015,"December","Tuesday",7,"Member",670,12.6291940298507
